name,type,lat,lng
ชุมชนแสงศิริ,ชุมชนชานเมือง,13.726918935880413,100.33866987924874
ชุมชนสงวนคำ,ชุมชนชานเมือง,13.702986506636114,100.33952822613394
ชุมชนสะพาน 1,ชุมชนชานเมือง,13.67083279926529,100.34610309255892
ชุมชนสายสัมพันธ์,ชุมชนแออัด,13.658103638330465,100.44275421372484
ชุมชนซอยนายเจียก,ชุมชนเมือง,13.663450587059916,100.44334196062086
ชุมชนหลวงพ่อขาว,ชุมชนหมู่บ้านจัดสรร,13.622018653520403,100.45967503147678
ชุมชนทรัพย์สินพัฒนา,ชุมชนแออัด,13.609978193704709,100.3781926301962
ชุมชนวัดนาคสี่บาท,ชุมชนแออัด,13.674955584904724,100.44822901291546
ชุมชนศาลาร่วมใจพัฒนา,ชุมชนแออัด,13.685414844906383,100.49382060147951
ชุมชนรุ่งเรือง,ชุมชนแออัด,13.668111224339462,100.51315992989302
ชุมชนหมู่ 7 ราษฎร์บูรณะ,ชุมชนแออัด,13.666710021674044,100.51502520859141
ชุมชนรวมน้ำใจ,ชุมชนแออัด,13.671780020602492,100.50090759409571
ชุมชนสุขสวัสดิ์ 36,ชุมชนแออัด,13.676620128463334,100.49744673900672
ชุมชนสุขสวัสดิ์ 26,ชุมชนแออัด,13.67478516332392,100.4854220403305
ชุมชนรัตนจีนะ,ชุมชนแออัด,13.670621442687207,100.49330208714105
ชุมชนอนามัย,ชุมชนแออัด,13.672120785372732,100.49444107017466
ชุมชนวัดสน,ชุมชนแออัด,13.674815435863223,100.51365859194803
ชุมชนมิ่งประชา,ชุมชนแออัด,13.681752865377307,100.50462471452674
ชุมชนสุขสวัสดิ์ 9,ชุมชนแออัด,13.685897999994905,100.48845470992327
ชุมชนบูรณะสุดเขต,ชุมชนแออัด,13.67434154155924,100.51373298583796
ชุมชนบุญมาก,ชุมชนแออัด,13.674556397586008,100.51721599404495
ชุมชนราษฎร์บูรณะ 39,ชุมชนหมู่บ้านจัดสรร,13.67516529834326,100.51779072952463
ชุมชนรุ่งอรุณ,ชุมชนแออัด,13.692356033209464,100.48424257064985
ชุมชนหมู่บ้านเจริญสุขใจ,ชุมชนหมู่บ้านจัดสรร,13.705361414118666,100.51797456264433
ชุมชนมิตรสามัคคี,ชุมชนแออัด,13.708529154123529,100.51659361531155
ชุมชนแสงจันทร์ใน,ชุมชนแออัด,13.70991196071354,100.52086012153984
ชุมชนจันทร์ร่ำรวย,ชุมชนเมือง,13.70828613065746,100.52194121788669
ชุมชนท้ายซอยจันทน์ 31,ชุมชนหมู่บ้านจัดสรร,13.70587834914063,100.52504607048479
ชุมชนเซ่งกี่,ชุมชนแออัด,13.702066995813782,100.49881657765586
ชุมชนบางคอแหลม,ชุมชนแออัด,13.69900818142439,100.5021844448347
ชุมชนสวนหลวง 1,ชุมชนแออัด,13.699509201716962,100.50396850782991
ชุมชนวัดพระยาไกร ระยะ 3,ชุมชนแออัด,13.701866161297804,100.50936085531603
ชุมชนโรงแก้ว,ชุมชนแออัด,13.696638850268448,100.52671763670726
ชุมชนร่วมใจพัฒนา,ชุมชนแออัด,13.702663040790078,100.51245969036572
ชุมชนเมืองอยู่ดี,ชุมชนเมือง,13.70165678074217,100.52305883097193
ชุมชนอยู่เจริญ (วิภาวดี),ชุมชนหมู่บ้านจัดสรร,13.944049850723179,100.61304983900791
ชุมชนแก้วงาม,ชุมชนหมู่บ้านจัดสรร,13.925128563484556,100.58437137752485
ชุมชนศรีกาญจน์,ชุมชนหมู่บ้านจัดสรร,13.930078778730351,100.57404973454884
ชุมชนปิ่นเจริญ 4,ชุมชนหมู่บ้านจัดสรร,13.94934050544379,100.57111626706053
ชุมชนประชาร่วมใจ 2,ชุมชนแออัด,13.837383603639223,100.55274071807138
ชุมชนหนองจุฬา,ชุมชนแออัด,13.823293156983217,100.54406847888242
ชุมชนร่วมสุขพัฒนา,ชุมชนแออัด,13.826904961041496,100.55664059156986
ชุมชนเคหะสถานเจริญชัย,ชุมชนแออัด,13.825505734559831,100.54741027861847
ชุมชนซอยภักดี,ชุมชนแออัด,13.82431403612101,100.54726680472356
ชุมชนพรรณี 1,ชุมชนแออัด,13.825217603131915,100.55106966060556
ชุมชนหมู่บ้านเลิศอุบล 4,ชุมชนหมู่บ้านจัดสรร,13.81149441101697,100.6178248793299
ชุมชนหมู่บ้านสมิทธิโชติ,ชุมชนหมู่บ้านจัดสรร,13.828888949647663,100.59240624652568
ชุมชนหมู่บ้านธันยกานต์มัยลาภ,ชุมชนหมู่บ้านจัดสรร,13.842439021308202,100.62228864426089
ชุมชนหมู่บ้านเนียมกล่ำสามัคคี,ชุมชนชานเมือง,13.842877243111555,100.62265476501973
ชุมชนหมู่บ้านเสริมมิตร,ชุมชนหมู่บ้านจัดสรร,13.805211752412726,100.6540524824893
ชุมชนเพชรคลองจั่น,ชุมชนแออัด,13.774542665940004,100.65646980321462
ชุมชนวัดวิมุตยาราม,ชุมชนแออัด,13.810399959216731,100.51392529371589
ชุมชนวัดฉัตรแก้วจงกลณี,ชุมชนแออัด,13.80181979999531,100.51458906148336
ชุมชนสงวนทรัพย์,ชุมชนแออัด,13.80239125739737,100.50874829575154
ชุมชนพัฒนาซอย 85,ชุมชนแออัด,13.79774034897454,100.50124533051437
